class,precision,recall,f1-score,support,Category,patch_size,data_type
Nut Pine,0.7626855367621678,0.6642615558060879,0.7100791387136947,13305.0,Overall,7,train_data
Larch,0.8371638336924427,0.9219580788328866,0.8775173048369895,22757.0,Overall,7,train_data
Mongolian Oak,0.7263784514058937,0.7284081287044877,0.727391874180865,23620.0,Overall,7,train_data
Oriental Oak,0.6181568252450395,0.5766614629794826,0.5966885889004269,17936.0,Overall,7,train_data
accuracy,0.7852936060237071,0.7852936060237071,0.7852936060237071,0.7852936060237071,Overall,7,train_data
macro avg,0.7718419745716859,0.7665912100408505,0.7681777735802143,120723.0,Overall,7,train_data
weighted avg,0.7818905722883152,0.7852936060237071,0.782711479512965,120723.0,Overall,7,train_data
Conifer,0.9378250548176069,0.9555038587939884,0.9465819196122365,54162.0,Conifer vs Broadleaf,7,train_data
Broadleaf,0.9402029625586185,0.9169731874939503,0.9284427946635304,41324.0,Conifer vs Broadleaf,7,train_data
accuracy,0.9388287288188845,0.9388287288188845,0.9388287288188845,0.9388287288188845,Conifer vs Broadleaf,7,train_data
macro avg,0.9390140086881127,0.9362385231439694,0.9375123571378834,95486.0,Conifer vs Broadleaf,7,train_data
weighted avg,0.9388541549944869,0.9388287288188845,0.9387317510076209,95486.0,Conifer vs Broadleaf,7,train_data
Pine,0.7895303382244632,0.8151614412728123,0.8021411920453564,17096.0,Conifer,7,train_data
Nut Pine,0.7828859952165825,0.6869267837711799,0.7317739598426827,12866.0,Conifer,7,train_data
Larch,0.9197352270734701,0.9628728774667279,0.9408098291556433,21790.0,Conifer,7,train_data
accuracy,0.8454745710310713,0.8454745710310713,0.8454745710310713,0.8454745710310713,Conifer,7,train_data
macro avg,0.830717186838172,0.8216537008369067,0.8249083270145606,51752.0,Conifer,7,train_data
weighted avg,0.8427008130057367,0.8454745710310713,0.8430332308673063,51752.0,Conifer,7,train_data
Mongolian Oak,0.7678061406640485,0.7699020002684924,0.7688526421628868,22347.0,Broadleaf,7,train_data
Oriental Oak,0.6679367129480142,0.6653158368712209,0.6666236988817634,15546.0,Broadleaf,7,train_data
accuracy,0.7269944316892302,0.7269944316892302,0.7269944316892302,0.7269944316892302,Broadleaf,7,train_data
macro avg,0.7178714268060313,0.7176089185698566,0.7177381705223251,37893.0,Broadleaf,7,train_data
weighted avg,0.7268336622835172,0.7269944316892302,0.7269121478170091,37893.0,Broadleaf,7,train_data
Non-Forest,0.9393370856785491,0.9551669316375199,0.9471858741920227,3145.0,Overall,7,validation
Pine,0.61124955500178,0.7666889930788122,0.6802020402099633,4479.0,Overall,7,validation
Nut Pine,0.7146755609460279,0.5726433430515063,0.6358241165362827,4116.0,Overall,7,validation
Larch,0.8653497942386831,0.911565805444772,0.887856780949164,5767.0,Overall,7,validation
Mongolian Oak,0.6728412653177543,0.7532301802520338,0.7107699254910815,6269.0,Overall,7,validation
Oriental Oak,0.6841994085340093,0.5253852392538524,0.594366455638132,6165.0,Overall,7,validation
accuracy,0.7352125847500084,0.7352125847500084,0.7352125847500084,0.7352125847500084,Overall,7,validation
macro avg,0.7479421116194672,0.747446748786416,0.7427008655027744,29941.0,Overall,7,validation
weighted avg,0.7367893527079762,0.7352125847500084,0.7308684577583975,29941.0,Overall,7,validation
Conifer,0.9221863220247711,0.9656727990413759,0.9434287091553902,14187.0,Conifer vs Broadleaf,7,validation
Broadleaf,0.9585390771326409,0.9068868304470399,0.9319978477712015,12415.0,Conifer vs Broadleaf,7,validation
accuracy,0.9382377264867303,0.9382377264867303,0.9382377264867303,0.9382377264867303,Conifer vs Broadleaf,7,validation
